vertical_velocity,forward_acceleration,backward_acceleration,max_horizontal_velocity,mid_horizontal_velocity,min_horizontal_velocity,ecb_bottom,ecb_inward
0.94,0,0,0,,0,4.64884,2.11648
0.88,-0.0025,-0.0025,0,,0,5.78777,2.51202
0.82,-0.0025,-0.0025,0,,0,6.15807,2
0.76,-0.0025,-0.0025,0,,0,5.8885,2.19584
0.7,-0.0025,-0.0025,0,,0,6.2429,3.22828
0.64,-0.0025,-0.0025,0,,0,5.82793,3.11102
0.58,-0.0025,-0.0025,0,,0,5.16819,3.12281
0.52,-0.0025,-0.0025,0,,0,4.29417,2.67862
0.46,-0.0025,-0.0025,0,,0,2.67359,2.42915
0.4,-0.0025,-0.0025,0,,0,2.66928,2.47077
0.34,-0.0025,-0.0025,0,,0,2.85393,2.50716
0.28,-0.0025,-0.0025,0,,0,3.19158,2.5386
0.22,-0.0025,-0.0025,0,,0,3.67453,2.56019
0.16,-0.0025,-0.0025,0,,0,3.57507,2.56691
0.1,-0.0025,-0.0025,0,,0,3.42991,2.55321
0.04,-0.0025,-0.0025,0,,0,3.34016,2.51177
-0.02,-0.0025,-0.0025,0,,0,3.2942,2.44274
-0.08,-0.0025,-0.0025,0,,0,3.28966,2.34217
-0.14,-0.0025,-0.0025,0,,0,3.31863,2.21626
-0.2,-0.0025,-0.0025,0,,0,3.37696,2.17749
-0.26,-0.0025,-0.0025,0,,0,3.46041,2.15576
-0.32,-0.0025,-0.0025,0,,0,3.56277,2.12843
-0.38,-0.0025,-0.0025,0,,0,3.67515,2.10442
-0.44,-0.0025,-0.0025,0,,0,3.83192,2.08996
-0.5,-0.0025,-0.0025,0,,0,4.03625,2.11087
-0.56,-0.0025,-0.0025,0,,0,4.32269,2.01975
-0.62,-0.0025,-0.0025,0,,0,4.69275,2
-0.68,-0.0025,-0.0025,0,,0,4.34587,2
-0.74,-0.0025,-0.0025,0,,0,3.81794,2
