vertical_velocity,forward_acceleration,backward_acceleration,max_horizontal_velocity,mid_horizontal_velocity,min_horizontal_velocity,ecb_bottom,ecb_inward
0,0,0,0,0,0,3.00536,6.82229
0,0.044,-0.044,0.044,0,-0.044,4.17136,3.41854
0,0.088,-0.088,0.088,0,-0.088,4.52726,2.97136
0,0.132,-0.132,0.132,0,-0.132,4.00385,9.48408
0,0.176,-0.176,0.176,0,-0.176,1.69978,10.68512
-0.00087,0.04187,-0.04613,0.21787,-0.00213,-0.22213,1.55549,10.71249
-0.0021,0.04096,-0.04704,0.25883,-0.00517,-0.26917,1.46099,10.73668
-0.0026,0.04279,-0.04521,0.30162,-0.00638,-0.31438,1.41198,10.75568
-0.00235,0.04461,-0.04339,0.34623,-0.00577,-0.35777,1.4042,10.76583
-0.00136,0.04643,-0.04157,0.39266,-0.00334,-0.39934,1.43336,10.76215
0.00037,0.04825,-0.03975,0.44091,0.00091,-0.43909,1.4952,10.73588
0.00284,0.05008,-0.03792,0.49099,0.00699,-0.47701,1.58543,10.68268
0.00606,0.0519,-0.28549,0.54289,0.01489,-0.45646,1.69978,10.59043
2.84533,0.41638,0.32838,0.95927,0.38727,-0.12808,1.69978,4.28408
2.73491,0.04786,-0.04014,1.00713,0.39113,-0.16822,1.69978,3.17785
2.6256,0.04774,-0.04026,1.05487,0.39487,-0.20848,1.69978,3.7863
2.51742,0.04762,-0.04038,1.06149,0.39849,-0.24886,1.69978,3.80862
2.41035,0.0475,-0.0405,1.06499,0.40199,-0.26101,2.33026,3.81985
2.30441,0.04737,-0.04063,1.06836,0.40536,-0.25764,2.26294,3.82517
2.19959,0.04724,-0.04076,1.0716,0.4086,-0.2544,2.13864,3.82999
2.09588,0.04712,-0.04088,1.07472,0.41172,-0.25128,2.01963,3.83962
1.99331,0.047,-0.041,1.07772,0.41472,-0.24828,1.96821,3.85875
1.89185,0.04687,-0.04113,1.08059,0.41759,-0.24541,2.04651,3.89097
1.79151,0.04675,-0.04125,1.08334,0.42034,-0.24266,2.31339,4.19507
1.69229,0.04663,-0.04137,1.08597,0.42297,-0.24003,2.69658,4.55337
1.5942,0.0465,-0.0415,1.08847,0.42547,-0.23753,3.16121,4.77227
1.49722,0.04637,-0.04163,1.09084,0.42784,-0.23516,3.66881,4.98158
1.40436,0.04625,-0.04175,1.09309,0.43009,-0.23291,4.16086,4.86576
1.30663,0.04613,-0.04187,1.09522,0.43222,-0.23078,4.59776,4.93086
1.21302,0.04601,-0.04199,1.09723,0.43423,-0.22877,4.9876,10.13076
1.12053,0.04587,-0.04213,1.0991,0.4361,-0.2269,5.33732,10.06803
1.02916,0.04576,-0.04224,1.10086,0.43786,-0.22514,5.49883,4.16913
0.93891,0.04563,-0.04237,1.10249,0.43949,-0.22351,5.7875,3.37916
0.84977,0.04551,-0.04249,1.104,0.441,-0.222,6.50863,4.205
0.76177,0.04538,-0.04262,1.10538,0.44238,-0.22062,7.31673,11.39693
0.67488,0.04526,-0.04274,1.10664,0.44364,-0.21936,7.8722,11.80814
0.58912,0.04514,-0.04286,1.10778,0.44478,-0.21822,8.02565,11.40607
0.50447,0.04501,-0.04299,1.10879,0.44579,-0.21721,8.5079,10.30527
0.42094,0.04488,-0.04312,1.10967,0.44667,-0.21633,9.3997,4.33091
0.33854,0.04477,-0.04323,1.11044,0.44744,-0.21556,9.85487,3.72317
0.25727,0.04463,-0.04337,1.11107,0.44807,-0.21493,10.42325,3.6623
0.17709,0.04452,-0.04348,1.11159,0.44859,-0.21441,11.66661,4.05747
0.09805,0.04438,-0.04362,1.11197,0.44897,-0.21403,13.63853,3.42157
0.02013,0.04427,-0.04373,1.11224,0.44924,-0.21376,13.97571,3.33973
-0.05665,0.04414,-0.04386,1.11238,0.44938,-0.21362,13.80859,4.77655
-0.13234,0.08128,-0.04398,1.1124,0.4494,-0.2136,14.22937,6.38091
-0.30244,0.04389,-0.04411,1.11229,0.44929,-0.21371,14.82293,6.68967
-0.55295,0.04377,-0.04423,1.11206,0.44906,-0.21394,15.64799,6.38539
-0.78135,0.04364,-0.04436,1.1117,0.4487,-0.2143,14.53217,5.97937
-0.98763,0.04352,-0.04448,1.11122,0.44822,-0.21478,12.67262,7.01775
-1.17178,0.0434,-0.0446,1.11062,0.44762,-0.21538,10.69318,4.02711
-1.33383,0.04326,-0.04474,1.10988,0.44688,-0.21612,8.2338,2.6437
-1.47376,0.04316,-0.04484,1.10904,0.44604,-0.21696,6.82758,2
-1.59156,0.04302,-0.04498,1.10806,0.44506,-0.21794,6.67253,2.58889
-1.68725,0.0429,-0.0451,1.10696,0.44396,-0.21904,8.3987,2.94444
-1.76082,0.04277,-0.04523,1.10573,0.44273,-0.22027,10.02879,3.45689
-1.81227,0.04266,-0.04534,1.10439,0.44139,-0.22161,12.82765,2.86595
-1.8416,0.04252,-0.04548,1.10291,0.43991,-0.22309,12.94481,3.66016
-1.84882,0.0424,-0.0456,1.10131,0.43831,-0.22469,11.99182,3.81384
-1.83392,0.04228,-0.04572,1.09959,0.43659,-0.22641,10.8401,2.98728
-1.7969,0.04216,-0.04584,1.09775,0.43475,-0.22825,8.58006,3.07188
-1.73776,0.04202,-0.04598,1.09577,0.43277,-0.23023,6.23389,3.04584
-1.6565,0.04192,-0.04608,1.09369,0.43069,-0.23231,4.57366,3.11685
-1.55313,0.04177,-0.04623,1.09146,0.42846,-0.23454,2.90939,3.85152
