vertical_velocity,forward_acceleration,backward_acceleration,max_horizontal_velocity,mid_horizontal_velocity,min_horizontal_velocity,ecb_bottom,ecb_inward
-0.085,0,0,0,,0,2.79079,2.55763
-0.17,0,0,0,,0,3.36551,3.89811
-0.255,0,0,0,,0,3.35083,3.78597
-0.34,0,0,0,,0,1.84816,2.85201
-0.425,0,0,0,,0,2.05758,2.86545
14.41555,0.75685,0.75685,0.75685,,0.75685,2.05758,2
15.51062,-0.04235,-0.04235,0.7145,,0.7145,2.05758,2
8.65633,-0.04116,-0.04116,0.67334,,0.67334,2.05758,2
2.42162,-0.03996,-0.03996,0.63338,,0.63338,2.05758,2
2.11897,-0.03876,-0.03876,0.59462,,0.59462,5.60402,2
1.83569,-0.03756,-0.03756,0.55706,,0.55706,5.61585,2
1.57181,-0.03637,-0.03637,0.52069,,0.52069,5.60775,2
1.32731,-0.03517,-0.03517,0.48552,,0.48552,5.48077,2
1.10218,-0.03397,-0.03397,0.45155,,0.45155,5.43769,2
0.89645,-0.03277,-0.03277,0.41878,,0.41878,5.49179,2
0.7101,-0.03158,-0.03158,0.3872,,0.3872,5.58387,2
0.54314,-0.02138,-0.02138,0.35682,,0.35682,5.69573,2
0.39556,-0.03817,-0.03817,0.32765,,0.32765,5.81503,2
0.26735,-0.02799,-0.02799,0.29966,,0.29966,5.93166,2
0.15855,-0.02678,-0.02678,0.27288,,0.27288,6.03653,2
0.06912,-0.02559,-0.02559,0.24729,,0.24729,6.13357,2.01507
-0.00093,-0.02439,-0.02439,0.2229,,0.2229,6.23814,2.17595
-0.06093,0.012,-0.012,0.36,,-0.36,6.3618,2.14967
-0.12093,0.012,-0.012,0.36,,-0.36,6.7316,2
-0.18093,0.012,-0.012,0.36,,-0.36,7.18624,2
-0.24093,0.012,-0.012,0.36,,-0.36,7.67057,2.26172
-0.30093,0.012,-0.012,0.36,,-0.36,7.94352,2.12479
-0.36093,0.012,-0.012,0.36,,-0.36,8.10809,2.14861
-0.42093,0.012,-0.012,0.36,,-0.36,7.89794,2.15951
-0.48093,0.012,-0.012,0.36,,-0.36,7.6036,2.0051
-0.54093,0.012,-0.012,0.36,,-0.36,7.14771,2.16192
-0.60093,0.012,-0.012,0.36,,-0.36,7.16368,2.18233
-0.66093,0.012,-0.012,0.36,,-0.36,7.07705,2.02592
-0.72093,0.012,-0.012,0.36,,-0.36,6.94927,2
-0.78093,0.012,-0.012,0.36,,-0.36,6.83761,2
-0.84093,0.012,-0.012,0.36,,-0.36,5.88492,2.06701
-0.90093,0.012,-0.012,0.36,,-0.36,4.81172,2.0629
-0.96093,0.012,-0.012,0.36,,-0.36,3.90223,2.08376
-1.02093,0.012,-0.012,0.36,,-0.36,3.3174,2.08591
