vertical_velocity,forward_acceleration,backward_acceleration,max_horizontal_velocity,mid_horizontal_velocity,min_horizontal_velocity,ecb_bottom,ecb_inward
0,0,0,0,,0,1.71249,2.19198
0,0,0,0,,0,1.5205,2.70766
0,0,0,0,,0,1.59842,3.9936
0,0,0,0,,0,1.89676,3.54239
0,0,0,0,,0,2.04046,3.45259
0,0,0,0,,0,2.03664,3.46316
0,0,0,0,,0,2.02148,3.48
0,0,0,0,,0,1.99609,3.49724
0,0,0,0,,0,1.96184,3.5085
0,0,0,0,,0,1.92019,3.50733
0,0,0,0,,0,1.87271,3.49551
0,0,0,0,,0,1.82096,3.48064
0,0,0,0,,0,1.76649,3.46339
0,0,0,0,,0,1.71077,3.44328
0,0,0,0,,0,1.65517,3.42102
0,0,0,0,,0,1.60093,3.39732
0,0,0,0,,0,1.54913,3.37299
0,0,0,0,,0,1.50069,3.34883
0,0,0,0,,0,1.45579,3.32508
0,0,0,0,,0,1.41393,3.30103
0,0,0,0,,0,1.37497,3.27614
0,0,0,0,,0,1.339,3.24992
0,0,0,0,,0,1.30637,3.22189
0,0,0,0,,0,1.27773,3.19158
0,0,0,0,,0,1.25412,3.15862
0,0,0,0,,0,1.24512,3.15876
0,0,0,0,,0,1.25249,3.14336
0,0,0,0,,0,1.26246,3.08965
0,0,0,0,,0,1.24179,2.92751
0,0,0,0,,0,1.18593,3.10285
0,0,0,0,,0,1.01859,3.78826
0,0,0,0,,0,0.78171,4.04064
0,0,0,0,,0,0.68125,3.74718
0,0,0,0,,0,0.66297,4.35537
0,0,0,0,,0,0.70879,4.34483
0,0,0,0,,0,0.7792,4.54382
0,0,0,0,,0,0.88132,5.48604
0,0,0,0,,0,1.37548,6.77667
0,0,0,0,,0,1.15218,7.20824
0,0,0,0,,0,0.88259,7.25941
0,0,0,0,,0,0.90241,7.32811
0,0,0,0,,0,1.2359,7.47852
0,0,0,0,,0,1.5895,7.64001
0,0,0,0,,0,1.98573,7.91261
0,0,0,0,,0,1.857,8.02165
0,0,0,0,,0,1.82112,7.8098
0,0,0,0,,0,1.96707,7.51936
0,0,0,0,,0,2.13247,7.44695
0,0,0,0,,0,2.28119,4.49938
