vertical_velocity,forward_acceleration,backward_acceleration,max_horizontal_velocity,mid_horizontal_velocity,min_horizontal_velocity,ecb_bottom,ecb_inward
0,0,0,0,0,0,3.05551,4.68226
0,0.044,-0.044,0.044,0,-0.044,4.4012,3.26468
0,0.044,-0.044,0.088,0,-0.088,4.64514,3.25177
0,0.044,-0.044,0.132,0,-0.132,4.39903,8.79018
0,0.044,-0.044,0.176,0,-0.176,2.17155,9.28287
-0.00078,0.04209,-0.04591,0.21809,-0.00191,-0.22191,2.04197,9.31236
-0.00189,0.04127,-0.04673,0.25936,-0.00464,-0.26864,1.95708,9.3287
-0.00233,0.04291,-0.04509,0.30227,-0.00573,-0.31373,1.91307,9.33434
-0.00211,0.04455,-0.04345,0.34682,-0.00518,-0.35718,1.90608,9.33206
-0.00122,0.04618,-0.04182,0.393,-0.003,-0.399,1.93227,9.32266
0.00033,0.04782,-0.04018,0.44082,0.00082,-0.43918,1.98782,9.30284
0.00255,0.04946,-0.03854,0.49028,0.00628,-0.47772,2.06885,9.27229
0.00544,0.05109,-0.20321,0.54137,0.01337,-0.45798,2.17155,9.22549
2.55553,0.37845,0.29045,0.91982,0.34782,-0.16753,2.17155,4.48185
2.45635,0.04747,-0.04053,0.96729,0.35129,-0.20806,2.17155,2.7994
2.35818,0.04737,-0.04063,1.01466,0.35466,-0.24869,2.17155,3.10504
2.26101,0.04724,-0.04076,1.0619,0.3579,-0.28945,2.17155,3.15591
2.16485,0.04714,-0.04086,1.10904,0.36104,-0.33031,2.09195,3.2133
2.0697,0.04703,-0.04097,1.15607,0.36407,-0.37128,2.03454,3.27756
1.97556,0.04691,-0.04109,1.20298,0.36698,-0.41237,1.92649,3.34645
1.88242,0.04681,-0.04119,1.24979,0.36979,-0.45356,1.82328,3.41775
1.79029,0.04669,-0.04131,1.29648,0.37248,-0.49487,1.78043,3.49127
1.69916,0.04658,-0.04142,1.32706,0.37506,-0.53629,1.8533,3.57682
1.60904,0.04647,-0.04153,1.32953,0.37753,-0.57447,2.09409,3.85916
1.51993,0.04636,-0.04164,1.33189,0.37989,-0.57211,2.43761,4.14859
1.43183,0.04624,-0.04176,1.33413,0.38213,-0.56987,2.84683,4.38652
1.34473,0.04614,-0.04186,1.33627,0.38427,-0.56773,3.28535,4.66598
1.25863,0.04602,-0.04198,1.33829,0.38629,-0.56571,3.71272,4.61559
1.17355,0.04591,-0.04209,1.3402,0.3882,-0.5638,4.11132,4.55109
1.08947,0.0458,-0.0422,1.342,0.39,-0.562,4.46805,4.69933
1.0064,0.04569,-0.04231,1.34369,0.39169,-0.56031,4.82301,4.574
0.92434,0.04557,-0.04243,1.34526,0.39326,-0.55874,4.91762,3.75492
0.84328,0.04547,-0.04253,1.34673,0.39473,-0.55727,5.2076,3.14838
0.76332,0.04535,-0.04265,1.34808,0.39608,-0.55592,5.9174,3.94477
0.68419,0.04524,-0.04276,1.34932,0.39732,-0.55468,6.68407,4.54568
0.60614,0.04513,-0.04287,1.35045,0.39845,-0.55355,7.16891,11.01106
0.52912,0.04502,-0.04298,1.35147,0.39947,-0.55253,7.24241,10.62404
0.45309,0.04491,-0.04309,1.35238,0.40038,-0.55162,7.64799,4.97551
0.37807,0.04479,-0.04321,1.35317,0.40117,-0.55083,8.44759,3.98034
0.30406,0.04469,-0.04331,1.35386,0.40186,-0.55014,8.54461,3.36038
0.23106,0.04457,-0.04343,1.35443,0.40243,-0.54957,9.12956,2.9427
0.15906,0.04447,-0.04353,1.3549,0.4029,-0.5491,11.20951,3.68528
0.08807,0.04434,-0.04366,1.35524,0.40324,-0.54876,13.17873,3.10056
0.01808,0.04425,-0.04375,1.35549,0.40349,-0.54851,12.47581,2.75662
-0.05088,0.04412,-0.04388,1.35561,0.40361,-0.54839,12.42949,3.89386
-0.11886,0.04401,-0.04399,1.35562,0.40362,-0.54838,12.86417,4.60036
-0.27163,0.04391,-0.04409,1.35553,0.40353,-0.54847,13.55915,6.00366
-0.49663,0.04379,-0.04421,1.35532,0.40332,-0.54868,14.35724,5.73695
-0.70176,0.04368,-0.04432,1.355,0.403,-0.549,13.16108,5.63338
-0.88704,0.04357,-0.04443,1.35457,0.40257,-0.54943,11.59608,6.48798
-1.05243,0.04346,-0.04454,1.35403,0.40203,-0.54997,9.92639,3.93866
-1.19797,0.04334,-0.04466,1.35337,0.40137,-0.55063,7.72705,2.58432
-1.32366,0.04324,-0.04476,1.35261,0.40061,-0.55139,6.41431,2
-1.42945,0.04312,-0.04488,1.35173,0.39973,-0.55227,6.58787,2
-1.5154,0.04301,-0.04499,1.35074,0.39874,-0.55326,8.26091,2.37886
-1.58148,0.0429,-0.0451,1.34964,0.39764,-0.55436,9.84751,2.77595
-1.62769,0.04279,-0.04521,1.34843,0.39643,-0.55557,12.09016,2.38101
-1.65403,0.04268,-0.04532,1.34711,0.39511,-0.55689,11.62578,2.39545
-1.66051,0.04256,-0.04544,1.34567,0.39367,-0.55833,10.76665,2.30524
-1.64713,0.04245,-0.04555,1.34412,0.39212,-0.55988,9.73038,2.1955
-1.61388,0.04235,-0.04565,1.34247,0.39047,-0.56153,8.72971,2.6375
-1.56076,0.04222,-0.04578,1.34069,0.38869,-0.56331,7.34959,2.80614
-1.48778,0.04213,-0.04587,1.33882,0.38682,-0.56518,4.83779,2.89906
-1.39494,0.042,-0.046,1.33682,0.38482,-0.56718,3.19494,3.63506
