vertical_velocity,forward_acceleration,backward_acceleration,max_horizontal_velocity,mid_horizontal_velocity,min_horizontal_velocity,ecb_bottom,ecb_inward
0.20183,-0.31605,-0.31605,-0.31605,,-0.31605,3.04274,4.47041
0.27723,-0.0496,-0.0496,-0.36565,,-0.36565,6.24597,5.03334
0.33551,0.15313,0.15313,-0.21252,,-0.21252,6.77937,4.68771
0.37668,0.45859,0.45859,0.24607,,0.24607,6.64106,4.63432
0.40073,0,0,0.24607,,0.24607,6.54073,4.60378
0.40766,0,0,0.24607,,0.24607,6.47538,4.5931
0.39748,0,0,0.24607,,0.24607,6.44247,4.59826
0.37018,0,0,0.24607,,0.24607,6.43979,4.61455
0.32577,0,0,0.24607,,0.24607,6.46545,4.63691
0.26424,0,0,0.24607,,0.24607,6.51788,4.6606
0.18559,0,0,0.24607,,0.24607,6.59574,4.67868
0.08983,0,0,0.24607,,0.24607,6.6978,4.68728
-0.02305,0,0,0.24607,,0.24607,6.82293,4.68022
-0.15304,0,0,0.24607,,0.24607,6.02108,4.3131
-0.30015,0,0,0.24607,,0.24607,4.39322,4.20284
-0.46438,0,0,0.24607,,0.24607,2.97842,4.566
-3.81748,0.97935,0.97935,1.22542,,1.22542,3.00264,4.59141
-3.81748,0,0,1.22542,,1.22542,2.9976,4.58768
-3.81748,0,0,1.22542,,1.22542,2.97099,4.56623
-3.81748,0,0,1.22542,,1.22542,2.93158,4.53775
-3.81748,0,0,1.22542,,1.22542,2.88816,4.51244
-3.81748,0,0,1.22542,,1.22542,2.84911,4.50006
-3.81748,0,0,1.22542,,1.22542,2.81308,4.50323
-3.81748,0,0,1.22542,,1.22542,2.7735,4.50811
-3.81748,0,0,1.22542,,1.22542,2.73073,4.51366
-3.81748,0,0,1.22542,,1.22542,2.68511,4.51908
-3.81748,0,0,1.22542,,1.22542,2.63698,4.52399
-3.81748,0,0,1.22542,,1.22542,2.58667,4.52802
-3.81748,0,0,1.22542,,1.22542,2.53454,4.53086
-2.9,-0.01,-0.01,1.21542,,1.21542,2.53454,4.65802
-2.9,-0.01,-0.01,1.20542,,1.20542,2.53454,4.08289
-2.9,-0.01,-0.01,1.19542,,1.19542,2.53454,3.34848
-2.9,-0.01,-0.01,1.18542,,1.18542,2.53454,2.71397
-2.9,-0.01,-0.01,1.17542,,1.17542,2.53454,2.41572
-2.9,-0.01,-0.01,1.16542,,1.16542,2.53454,2.65804
-2.9,-0.01,-0.01,1.15542,,1.15542,2.53454,2.97446
-2.9,-0.01,-0.01,1.14542,,1.14542,2.53454,3.01314
-2.9,-0.01,-0.01,1.13542,,1.13542,2.53454,2.86655
-2.9,-0.01,-0.01,1.12542,,1.12542,0.775,2.78992
-2.9,-0.01,-0.01,1.11542,,1.11542,1.90425,2.7871
-2.9,-0.01,-0.01,1.10542,,1.10542,2.67024,2.8775
-2.9,-0.01,-0.01,1.09542,,1.09542,2.57416,2.89241
-2.9,-0.01,-0.01,1.08542,,1.08542,0,2.95931
-2.9,-0.01,-0.01,1.07542,,1.07542,0,2.94094
-2.9,-0.01,-0.01,1.06542,,1.06542,2.57142,3.0728
-2.9,-0.01,-0.01,1.05542,,1.05542,3.36185,3.67239
-2.9,-0.01,-0.01,1.04542,,1.04542,3.54652,4.00201
-2.9,-0.01,-0.01,1.03542,,1.03542,4.01226,4.02197
-2.9,-0.01,-0.01,1.02542,,1.02542,2.51706,3.82286
-2.9,-0.01,-0.01,1.01542,,1.01542,2.04388,3.80428
-2.9,-0.01,-0.01,1.00542,,1.00542,1.68863,3.90124
-2.9,-0.01,-0.01,0.99542,,0.99542,1.48116,4.24667
-2.9,-0.01,-0.01,0.98542,,0.98542,1.7746,4.58267
-2.9,-0.01,-0.01,0.97542,,0.97542,2.27834,4.79899
-2.9,-0.01,-0.01,0.96542,,0.96542,2.78949,4.89793
-2.9,-0.01,-0.01,0.95542,,0.95542,2.989247,4.72794
-2.9,-0.01,-0.01,0.94542,,0.94542,2.65326,4.32374
-2.9,-0.01,-0.01,0.93542,,0.93542,2.23287,3.94088
