vertical_velocity,forward_acceleration,backward_acceleration,max_horizontal_velocity,mid_horizontal_velocity,min_horizontal_velocity,ecb_bottom,ecb_inward
0,0,0,0,,0,4.88859,2
0,0,0,0,,0,5.94628,2
0,0,0,0,,0,6.65456,2.12389
0,0,0,0,,0,6.33949,2.07417
0,0,0,0,,0,6.13013,2
0,0,0,0,,0,5.63678,2
0,0,0,0,,0,5.20667,2
0,0,0,0,,0,4.95706,2
0,0,0,0,,0,4.94419,2
0,0,0,0,,0,4.99453,2
0,0,0,0,,0,5.04981,2
0,0,0,0,,0,5.02734,2
0,0,0,0,,0,4.98535,2
0,0,0,0,,0,4.96371,2
0,0,0,0,,0,4.9628,2
-0.016,0,0,0,,0,4.9812,2
-0.032,0,0,0,,0,4.98924,2
-0.048,0,0,0,,0,4.9776,2
-0.064,0,0,0,,0,4.94403,2
-0.08,0,0,0,,0,4.92355,2
-0.096,0,0,0,,0,4.92522,2
-0.112,0,0,0,,0,4.94272,2
-0.128,0,0,0,,0,4.95287,2
-0.144,0,0,0,,0,4.94634,2
-0.16,0,0,0,,0,4.9217,2
-0.176,0,0,0,,0,4.90535,2
-0.192,0,0,0,,0,4.90359,2
-0.208,0,0,0,,0,4.91172,2
-0.224,0,0,0,,0,4.91652,2
-0.24,0,0,0,,0,4.91006,2
-0.256,0,0,0,,0,4.89011,2
-0.272,0,0,0,,0,4.87927,2
-0.288,0,0,0,,0,4.88337,2
-0.304,0,0,0,,0,4.91299,2
-0.32,0,0,0,,0,5.01128,2
-0.336,0,0,0,,0,5.49743,2
-0.352,0,0,0,,0,5.60563,2
-0.368,0,0,0,,0,5.35302,2
-0.384,0,0,0,,0,5.30878,2
-0.4,0,0,0,,0,4.09591,2
-0.416,0,0,0,,0,2.66004,2
-0.432,0,0,0,,0,2.34544,3.69668
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0.07,-0.07,0.83,,-0.83,2.8562,4.22708
0,0.07,-0.07,0.83,,-0.83,4.2608,4.39175
0,0.07,-0.07,0.83,,-0.83,2.43257,2.60956
0,0.07,-0.07,0.83,,-0.83,2.15451,2
0,0.07,-0.07,0.83,,-0.83,1.91264,2.06231
0,0.07,-0.07,0.83,,-0.83,2.18654,2
0,0.07,-0.07,0.83,,-0.83,1.75287,2
0,0.07,-0.07,0.83,,-0.83,1.66501,2
0,0.07,-0.07,0.83,,-0.83,2.10001,2
0,0.07,-0.07,0.83,,-0.83,2.91254,2
0,0.07,-0.07,0.83,,-0.83,3.58929,2.19424
0,0.07,-0.07,0.83,,-0.83,3.21381,2.24217
0,0.07,-0.07,0.83,,-0.83,2.86174,2.17722
0,0.07,-0.07,0.83,,-0.83,2.62224,2.00401
0,0.07,-0.07,0.83,,-0.83,2.39804,2
0,0.07,-0.07,0.83,,-0.83,2.02351,2
0,0.07,-0.07,0.83,,-0.83,1.82715,2
0,0.07,-0.07,0.83,,-0.83,0.90439,2
0,0.07,-0.07,0.83,,-0.83,0,2.37942
0,0.07,-0.07,0.83,,-0.83,0,2.96388
