vertical_velocity,forward_acceleration,backward_acceleration,max_horizontal_velocity,mid_horizontal_velocity,min_horizontal_velocity,ecb_bottom,ecb_inward
0,0,0,0,,0,4.26627,2
0,0,0,0,,0,5.18958,2
0,0,0,0,,0,5.80825,2
0,0,0,0,,0,5.53235,2
0,0,0,0,,0,5.34966,2
0,0,0,0,,0,4.91772,2
0,0,0,0,,0,4.54156,2
0,0,0,0,,0,4.32345,2
0,0,0,0,,0,4.31181,2
0,0,0,0,,0,4.35564,2
0,0,0,0,,0,4.40383,2
0,0,0,0,,0,4.38403,2
0,0,0,0,,0,4.34747,2
0,0,0,0,,0,4.32854,2
0,0,0,0,,0,4.32772,2
-0.015,0,0,0,,0,4.34386,2
-0.03,0,0,0,,0,4.35088,2
-0.045,0,0,0,,0,4.34066,2
-0.06,0,0,0,,0,4.31133,2
-0.075,0,0,0,,0,4.2935,2
-0.09,0,0,0,,0,4.29494,2
-0.105,0,0,0,,0,4.31026,2
-0.12,0,0,0,,0,4.31902,2
-0.135,0,0,0,,0,4.31316,2
-0.15,0,0,0,,0,4.2915,2
-0.165,0,0,0,,0,4.2772,2
-0.18,0,0,0,,0,4.27565,2
-0.195,0,0,0,,0,4.28283,2
-0.21,0,0,0,,0,4.287,2
-0.225,0,0,0,,0,4.28126,2
-0.24,0,0,0,,0,4.26373,2
-0.255,0,0,0,,0,4.25422,2
-0.27,0,0,0,,0,4.25768,2
-0.285,0,0,0,,0,4.28341,2
-0.3,0,0,0,,0,4.36911,2
-0.315,0,0,0,,0,4.79478,2
-0.33,0,0,0,,0,4.89193,2
-0.345,0,0,0,,0,4.67149,2
-0.36,0,0,0,,0,4.63289,2
-0.375,0,0,0,,0,3.57449,2
-0.39,0,0,0,,0,2.32137,2
-0.405,0,0,0,,0,2.04703,3.42337
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0,0,0,,0,0,2
0,0.08,-0.08,0.83,,-0.83,2.49287,4.00951
0,0.08,-0.08,0.83,,-0.83,3.21647,3.16311
0,0.08,-0.08,0.83,,-0.83,3.29348,2.32549
0,0.08,-0.08,0.83,,-0.83,2.27059,2
0,0.08,-0.08,0.83,,-0.83,1.57691,2
0,0.08,-0.08,0.83,,-0.83,1.90824,2
0,0.08,-0.08,0.83,,-0.83,1.52977,2
0,0.08,-0.08,0.83,,-0.83,1.45309,2
0,0.08,-0.08,0.83,,-0.83,1.83273,2
0,0.08,-0.08,0.83,,-0.83,2.54185,2
0,0.08,-0.08,0.83,,-0.83,3.13248,2
0,0.08,-0.08,0.83,,-0.83,2.80453,2
0,0.08,-0.08,0.83,,-0.83,2.49725,2
0,0.08,-0.08,0.83,,-0.83,2.28819,2
0,0.08,-0.08,0.83,,-0.83,2.09543,2
0,0.08,-0.08,0.83,,-0.83,1.76834,2
0,0.08,-0.08,0.83,,-0.83,1.59851,2
0,0.08,-0.08,0.83,,-0.83,0.79139,2
0,0.08,-0.08,0.83,,-0.83,0,2.14488
0,0.08,-0.08,0.83,,-0.83,0,2.70596
