vertical_velocity,forward_acceleration,backward_acceleration,max_horizontal_velocity,mid_horizontal_velocity,min_horizontal_velocity,ecb_bottom,ecb_inward
0,0,0,0,,0,3.50615,2
0,0,0,0,,0,2.8241,2.30477
0,0,0,0,,0,2.08694,2.43458
0,0,0,0,,0,1.36353,2.28246
0,0,0,0,,0,1.35867,2.33513
0,0,0,0,,0,1.37415,2.34783
0,0,0,0,,0,1.38735,2.35759
0,0,0,0,,0,1.39845,2.36466
0,0,0,0,,0,1.40767,2.36927
0,0,0,0,,0,1.41525,2.37167
0,0,0,0,,0,1.42145,2.3721
0,0,0,0,,0,1.4265,2.37076
0,0,0,0,,0,1.43069,2.3679
0,0,0,0,,0,1.4343,2.36374
0,0,0,0,,0,1.43758,2.3585
-0.01667,0,0,0,,0,1.44083,2.35239
-0.03333,0,0,0,,0,1.97665,2.16145
-0.05,0,0,0,,0,2.54279,2
-0.06667,0,0,0,,0,1.45539,2
0,0,0,0,,0,2.56316,3.0233
0,18.72,18.72,18.72,,18.72,2.51796,3.00192
0,0,0,18.72,,18.72,2.47445,2.9805
0,0,0,18.72,,18.72,2.43257,2.95905
0,-16.79,-16.79,1.93,,1.93,2.56327,3.02325
0,-0.07,-0.07,1.86,,1.86,4.782,3.64085
0,-0.07,-0.07,1.79,,1.79,4.85575,3.69643
0,-0.07,-0.07,1.72,,1.72,4.81454,3.70336
0,-0.07,-0.07,1.65,,1.65,4.70577,3.70004
-0.08,-0.07,-0.07,1.58,,1.58,4.57793,3.6942
-0.16,-0.07,-0.07,1.51,,1.51,4.47876,3.69127
-0.24,-0.07,-0.07,1.44,,1.44,4.41003,3.69114
-0.32,-0.07,-0.07,1.37,,1.37,4.34082,3.68956
-0.4,-0.07,-0.07,1.3,,1.3,4.26933,3.68594
-0.48,-0.07,-0.07,1.23,,1.23,4.19396,3.68319
-0.56,-0.07,-0.07,1.16,,1.16,4.11326,3.68364
-0.64,-0.07,-0.07,1.09,,1.09,4.02602,3.68466
-0.72,-0.07,-0.07,1.02,,1.02,3.93124,3.68516
-0.8,-0.07,-0.07,0.95,,0.95,3.82826,3.68507
-0.88,-0.07,-0.07,0.88,,0.88,3.71671,3.68428
-0.96,-0.07,-0.07,0.81,,0.81,3.59665,3.68268
-1.04,-0.07,-0.07,0.74,,0.74,3.46857,3.68012
-1.12,-0.07,-0.07,0.67,,0.67,3.33354,3.67649
-1.2,-0.07,-0.07,0.6,,0.6,3.19239,3.67161
-1.28,-0.07,-0.07,0.53,,0.53,3.05036,3.66532
-1.36,-0.07,-0.07,0.46,,0.46,2.90823,3.65743
-1.44,-0.07,-0.07,0.39,,0.39,2.77161,3.64775
-1.52,-0.07,-0.07,0.32,,0.32,2.64659,3.63609
-1.6,-0.07,-0.07,0.25,,0.25,2.54095,3.6222
-1.68,-0.07,-0.07,0.18,,0.18,2.46444,3.60791
-1.76,-0.07,-0.07,0.11,,0.11,2.94891,3.44959
-1.84,-0.07,-0.07,0.04,,0.04,3.36998,3.30907
-1.92,-0.04,-0.04,0,,0,4.34032,3.25845
-2,0,0,0,,0,4.54768,3.32169
-2.08,0,0,0,,0,5.69292,3.27599
-2.16,0,0,0,,0,5.97133,3.14473
-2.24,0,0,0,,0,4.72139,3.19374
-2.32,0,0,0,,0,4.73918,3.21177
-2.4,0,0,0,,0,5.60891,3.41658
-2.48,0,0,0,,0,4.585,3.17428
-2.56,0,0,0,,0,3.46683,3.09681
-2.64,0,0,0,,0,2.74863,3.08015
-2.72,0,0,0,,0,1.81617,3.06682
-2.8,0,0,0,,0,1.00061,3.01981
