vertical_velocity,forward_acceleration,backward_acceleration,max_horizontal_velocity,mid_horizontal_velocity,min_horizontal_velocity,ecb_bottom,ecb_inward
0,0,0,0,,0,1.77899,2.59177
0,0,0,0,,0,1.62711,3.17982
0,0,0,0,,0,1.76878,4.78549
0,0,0,0,,0,2.13547,4.75771
0,0,0,0,,0,2.29307,4.58875
0,0,0,0,,0,2.27891,4.60837
0,0,0,0,,0,2.26287,4.60377
0,0,0,0,,0,2.23947,4.58016
0,0,0,0,,0,2.20339,4.53546
0,0,0,0,,0,2.15581,4.47477
0,0,0,0,,0,2.10234,4.41235
0,0,0,0,,0,2.04436,4.34711
0,0,0,0,,0,1.98326,4.27515
0,0,0,0,,0,1.92037,4.19736
0,0,0,0,,0,1.85699,4.11468
0,0,0,0,,0,1.79435,4.02805
0,0,0,0,,0,1.73355,3.93848
0,0,0,0,,0,1.6756,3.84703
0,0,0,0,,0,1.62136,3.75473
0,0,0,0,,0,1.57159,3.66266
0,0,0,0,,0,1.52602,3.5708
0,0,0,0,,0,1.48399,3.47823
0,0,0,0,,0,1.44572,3.39172
0,0,0,0,,0,1.41172,3.3662
0,0,0,0,,0,1.38282,3.33957
0,0,0,0,,0,1.36635,3.36385
0,0,0,0,,0,1.36165,3.38365
0,0,0,0,,0,1.35452,3.37138
0,0,0,0,,0,1.3142,3.26395
0,0,0,0,,0,1.23733,3.80246
0,0,0,0,,0,1.06043,4.48754
0,0,0,0,,0,0.84507,4.79173
0,0,0,0,,0,0.78,4.52046
0,0,0,0,,0,0.77279,4.09344
0,0,0,0,,0,0.83317,3.69267
0,0,0,0,,0,0.91995,3.93455
0,0,0,0,,0,1.07628,6.39376
0,0,0,0,,0,1.57231,7.77193
0,0,0,0,,0,1.24905,8.21386
0,0,0,0,,0,0.8745,8.28296
0,0,0,0,,0,0.77017,8.37049
0,0,0,0,,0,1.03821,8.54539
0,0,0,0,,0,1.23709,8.81359
0,0,0,0,,0,1.51423,9.12193
0,0,0,0,,0,1.86319,9.25282
0,0,0,0,,0,1.81719,9.02305
0,0,0,0,,0,1.91005,8.72926
0,0,0,0,,0,1.98293,8.56718
0,0,0,0,,0,2.02636,8.73237
