vertical_velocity,forward_acceleration,backward_acceleration,max_horizontal_velocity,mid_horizontal_velocity,min_horizontal_velocity,ecb_bottom,ecb_inward
0,0,0,0,,0,4.7612,6.28461
0,0,0,0,,0,4.7612,9.255
0,0,0,0,,0,4.7612,10.62864
0,0,0,0,,0,4.7612,10.10815
0,0,0,0,,0,1.73749,10.19148
0,0,0,0,,0,1.95246,10.24401
0,0,0,0,,0,2.14644,10.33289
0,0,0,0,,0,2.31315,10.43704
0,0,0,0,,0,2.45775,10.55499
0,0,0,0,,0,2.48404,10.68807
0,0,0,0,,0,2.41684,10.84002
0,0,0,0,,0,2.35403,11.01596
0,0,0,0,,0,2.28738,11.22028
0,0,0,0,,0,2.21111,11.43668
0,0,0,0,,0,2.12332,11.64652
0,2.69842,2.69842,2.69842,,2.69842,2.42337,11.11872
0,-0.34024,-0.34024,2.35818,,2.35818,1.72649,9.9304
0,-0.26921,-0.26921,2.08897,,2.08897,1.54572,10.38019
0,-0.19818,-0.19818,1.89079,,1.89079,3.46842,11.91584
0,-0.12714,-0.12714,1.76365,,1.76365,2.94803,11.71297
0,-0.06568,-0.06568,1.69797,,1.69797,3.12341,11.27635
0,-0.05107,-0.05107,1.6469,,1.6469,3.15848,11.17303
0,-0.0503,-0.0503,1.5966,,1.5966,3.28909,11.25758
0,-0.04953,-0.04953,1.54707,,1.54707,3.48873,11.45245
0,-0.04876,-0.04876,1.49831,,1.49831,3.74188,11.67767
0,-0.04799,-0.04799,1.45032,,1.45032,4.0306,11.85925
0,-0.04722,-0.04722,1.4031,,1.4031,4.32455,11.97536
0,-0.04645,-0.04645,1.35665,,1.35665,4.58671,12.05534
0,-0.04569,-0.04569,1.31096,,1.31096,4.78293,12.11075
-0.05,-0.04492,-0.04492,1.26604,,1.26604,4.87871,12.15604
-0.1,-0.04414,-0.04414,1.2219,,1.2219,4.8383,12.20264
-0.15,-0.04338,-0.04338,1.17852,,1.17852,4.60056,12.24345
-0.2,-0.04261,-0.04261,1.13591,,1.13591,4.14338,12.26079
-0.25,-0.04184,-0.04184,1.09407,,1.09407,3.48653,12.22701
-0.3,-0.04107,-0.04107,1.053,,1.053,2.65147,12.09663
-0.35,-0.04031,-0.04031,1.01269,,1.01269,0.1997,10.94594
-0.4,-0.03953,-0.03953,0.97316,,0.97316,0,13.00554
-0.45,-0.03877,-0.03877,0.93439,,0.93439,0,14.81137
-0.5,-0.03799,-0.03799,0.8964,,0.8964,0,15.32357
-0.55,-0.03723,-0.03723,0.85917,,0.85917,1.60838,14.49341
-0.6,-0.03646,-0.03646,0.82271,,0.82271,0.01612,11.81155
-0.65,-0.03569,-0.03569,0.78702,,0.78702,0,7.91777
-0.7,-0.03492,-0.03492,0.7521,,0.7521,0.51486,7.5183
-0.75,-0.03415,-0.03415,0.71795,,0.71795,1.10952,7.76823
-0.8,-0.03339,-0.03339,0.68456,,0.68456,1.49479,7.94286
-0.85,-0.03261,-0.03261,0.65195,,0.65195,1.79939,8.04107
-0.9,-0.03185,-0.03185,0.6201,,0.6201,2.0964,8.07828
-0.95,-0.03108,-0.03108,0.58902,,0.58902,2.36981,8.03763
-1,-0.0303,-0.0303,0.55872,,0.55872,2.59566,7.90131
-1.05,-0.02955,-0.02955,0.52917,,0.52917,2.7412,7.65465
-1.1,-0.02877,-0.02877,0.5004,,0.5004,2.76871,7.29015
-1.15,-0.028,-0.028,0.4724,,0.4724,2.64337,7.61357
-1.2,-0.02723,-0.02723,0.44517,,0.44517,2.33197,9.03131
-1.25,-0.02647,-0.02647,0.4187,,0.4187,1.85428,10.36513
-1.3,-0.02569,-0.02569,0.39301,,0.39301,1.28729,11.51918
-1.35,-0.02492,-0.02492,0.36809,,0.36809,0.73009,12.37268
-1.4,-0.02418,-0.02418,0.34391,,0.34391,0.37558,12.91016
-1.45,-0.02338,-0.02338,0.32053,,0.32053,0.44942,13.11552
-1.5,-0.02261,-0.02261,0.29792,,0.29792,1.12567,12.81618
-1.55,-0.02187,-0.02187,0.27605,,0.27605,1.56517,11.79509
-1.6,-0.02106,-0.02106,0.25499,,0.25499,0,10.36684
-1.65,-0.02033,-0.02033,0.23466,,0.23466,0,8.20686
-1.7,-0.01953,-0.01953,0.21513,,0.21513,0,4.67139
-1.75,-0.0188,-0.0188,0.19633,,0.19633,0,4.64267
-1.8,-0.01798,-0.01798,0.17835,,0.17835,0,4.12861
-1.85,-0.01727,-0.01727,0.16108,,0.16108,0,3.98105
-1.9,-0.01645,-0.01645,0.14463,,0.14463,0,3.7868
-1.95,-0.0157,-0.0157,0.12893,,0.12893,3.24619,4.19701
-2,-0.01494,-0.01494,0.11399,,0.11399,3.42772,5.55334
-2.05,-0.01416,-0.01416,0.09983,,0.09983,3.68501,6.94489
-2.1,-0.01339,-0.01339,0.08644,,0.08644,4.07552,7.96449
-2.15,-0.01264,-0.01264,0.0738,,0.0738,3.99019,8.69717
-2.2,-0.01185,-0.01185,0.06195,,0.06195,3.5418,9.15205
-2.25,-0.01109,-0.01109,0.05086,,0.05086,3.16446,9.44041
-2.3,-0.01031,-0.01031,0.04055,,0.04055,2.86761,9.65689
-2.35,-0.00957,-0.00957,0.03098,,0.03098,2.67162,9.83653
-2.4,-0.00876,-0.00876,0.02222,,0.02222,2.58936,9.91006
-2.45,-0.00803,-0.00803,0.01419,,0.01419,2.4569,9.7672
-2.5,-0.00724,-0.00724,0.00695,,0.00695,2.26749,9.41476
