vertical_velocity,forward_acceleration,backward_acceleration,max_horizontal_velocity,mid_horizontal_velocity,min_horizontal_velocity,ecb_bottom,ecb_inward
0,0,0,0,0,0,3.00536,6.82229
0,0.044,-0.044,0.044,0,-0.044,4.17136,3.41854
0,0.088,-0.088,0.088,0,-0.088,4.52726,2.97136
0,0.132,-0.132,0.132,0,-0.132,4.00385,9.48408
0,0.176,-0.176,0.176,0,-0.176,1.69978,10.68512
-0.00087,0.04187,-0.04613,0.21787,-0.00213,-0.22213,1.55549,10.71249
-0.0021,0.04096,-0.04704,0.25883,-0.00517,-0.26917,1.46099,10.73668
-0.0026,0.04279,-0.04521,0.30162,-0.00638,-0.31438,1.41198,10.75568
-0.00235,0.04461,-0.04339,0.34623,-0.00577,-0.35777,1.4042,10.76583
-0.00136,0.04643,-0.04157,0.39266,-0.00334,-0.39934,1.43336,10.76215
0.00037,0.04825,-0.03975,0.44091,0.00091,-0.43909,1.4952,10.73588
0.00284,0.05008,-0.03792,0.49099,0.00699,-0.47701,1.58543,10.68268
0.00606,-0.03453,-0.06588,0.45646,,-0.54289,1.69978,4.22097
2.84533,-0.32838,-0.41638,0.12808,-0.38727,-0.95927,1.69978,4.28408
2.73491,0.04014,-0.04786,0.16822,-0.39113,-1.00713,1.69978,3.17785
2.6256,0.04026,-0.04774,0.20848,-0.39487,-1.05487,1.69978,3.7863
2.51742,0.04038,-0.04762,0.24886,-0.39849,-1.06149,1.69978,3.80862
2.41035,0.0405,-0.0475,0.26101,-0.40199,-1.06499,2.33026,3.81985
2.30441,0.04063,-0.04737,0.25764,-0.40536,-1.06836,2.26294,3.82517
2.19959,0.04076,-0.04724,0.2544,-0.4086,-1.0716,2.13864,3.82999
2.09588,0.04088,-0.04712,0.25128,-0.41172,-1.07472,2.01963,3.83962
1.99331,0.041,-0.047,0.24828,-0.41472,-1.07772,1.96821,3.85875
1.89185,0.04113,-0.04687,0.24541,-0.41759,-1.08059,2.04651,3.89097
1.79151,0.04125,-0.04675,0.24266,-0.42034,-1.08334,2.31339,4.19507
1.69229,0.04137,-0.04663,0.24003,-0.42297,-1.08597,2.69658,4.55337
1.5942,0.0415,-0.0465,0.23753,-0.42547,-1.08847,3.16121,4.77227
1.49722,0.04163,-0.04637,0.23516,-0.42784,-1.09084,3.66881,4.98158
1.40436,0.04175,-0.04625,0.23291,-0.43009,-1.09309,4.16086,4.86576
1.30663,0.04187,-0.04613,0.23078,-0.43222,-1.09522,4.59776,4.93086
1.21302,0.04199,-0.04601,0.22877,-0.43423,-1.09723,4.9876,2
1.12053,0.04213,-0.04587,0.2269,-0.4361,-1.0991,5.33732,2
1.02916,0.04224,-0.04576,0.22514,-0.43786,-1.10086,5.49883,4.16913
0.93891,0.04237,-0.04563,0.22351,-0.43949,-1.10249,5.7875,3.37916
0.84977,0.04249,-0.04551,0.222,-0.441,-1.104,6.50863,4.205
0.76177,0.04262,-0.04538,0.22062,-0.44238,-1.10538,7.31673,2
0.67488,0.04274,-0.04526,0.21936,-0.44364,-1.10664,7.8722,2
0.58912,0.04286,-0.04514,0.21822,-0.44478,-1.10778,8.02565,2
0.50447,0.04299,-0.04501,0.21721,-0.44579,-1.10879,8.5079,2
0.42094,0.04312,-0.04488,0.21633,-0.44667,-1.10967,9.3997,4.33091
0.33854,0.04323,-0.04477,0.21556,-0.44744,-1.11044,9.85487,3.72317
0.25727,0.04337,-0.04463,0.21493,-0.44807,-1.11107,10.42325,3.6623
0.17709,0.04348,-0.04452,0.21441,-0.44859,-1.11159,11.66661,4.05747
0.09805,0.04362,-0.04438,0.21403,-0.44897,-1.11197,13.63853,3.42157
0.02013,0.04373,-0.04427,0.21376,-0.44924,-1.11224,13.97571,3.33973
-0.05665,0.04386,-0.04414,0.21362,-0.44938,-1.11238,13.80859,4.77655
-0.13234,0.04398,-0.08128,0.2136,-0.4494,-1.1124,14.22937,4.04944
-0.30244,0.04411,-0.04389,0.21371,-0.44929,-1.11229,14.82293,5.16347
-0.55295,0.04423,-0.04377,0.21394,-0.44906,-1.11206,15.64799,6.22149
-0.78135,0.04436,-0.04364,0.2143,-0.4487,-1.1117,14.53217,6.50696
-0.98763,0.04448,-0.04352,0.21478,-0.44822,-1.11122,12.67262,5.79451
-1.17178,0.0446,-0.0434,0.21538,-0.44762,-1.11062,10.69318,4.02711
-1.33383,0.04474,-0.04326,0.21612,-0.44688,-1.10988,8.2338,2.6437
-1.47376,0.04484,-0.04316,0.21696,-0.44604,-1.10904,6.82758,2
-1.59156,0.04498,-0.04302,0.21794,-0.44506,-1.10806,6.67253,2.58889
-1.68725,0.0451,-0.0429,0.21904,-0.44396,-1.10696,8.3987,2.94444
-1.76082,0.04523,-0.04277,0.22027,-0.44273,-1.10573,10.02879,3.45689
-1.81227,0.04534,-0.04266,0.22161,-0.44139,-1.10439,12.82765,2.86595
-1.8416,0.04548,-0.04252,0.22309,-0.43991,-1.10291,12.94481,3.66016
-1.84882,0.0456,-0.0424,0.22469,-0.43831,-1.10131,11.99182,3.81384
-1.83392,0.04572,-0.04228,0.22641,-0.43659,-1.09959,10.8401,2.98728
-1.7969,0.04584,-0.04216,0.22825,-0.43475,-1.09775,8.58006,3.07188
-1.73776,0.04598,-0.04202,0.23023,-0.43277,-1.09577,6.23389,3.04584
-1.6565,0.04608,-0.04192,0.23231,-0.43069,-1.09369,4.57366,3.11685
-1.55313,0.04623,-0.04177,0.23454,-0.42846,-1.09146,2.90939,3.85152
