vertical_velocity,forward_acceleration,backward_acceleration,max_horizontal_velocity,mid_horizontal_velocity,min_horizontal_velocity,ecb_bottom,ecb_inward
0.22472,0.22472,0.22472,-0.35189,,-0.35189,3.0182,6.50301
0.30867,-0.05522,-0.05522,-0.40711,,-0.40711,6.6287,5.89899
0.37356,0.17049,0.17049,-0.23662,,-0.23662,6.44625,4.92789
0.4194,0.5106,0.5106,0.27398,,0.27398,6.32632,4.8374
0.44617,0,0,0.27398,,0.27398,6.24238,4.82417
0.45389,0,0,0.27398,,0.27398,6.19056,4.83505
0.44256,0,0,0.27398,,0.27398,6.16749,4.85714
0.41216,0,0,0.27398,,0.27398,6.17036,4.87964
0.36271,0,0,0.27398,,0.27398,6.19673,4.89534
0.2942,0,0,0.27398,,0.27398,6.24451,4.90103
0.20664,0,0,0.27398,,0.27398,6.31183,4.897
0.10002,0,0,0.27398,,0.27398,6.39701,4.90068
-0.02566,0,0,0.27398,,0.27398,6.498839,4.89714
-0.1704,0,0,0.27398,,0.27398,5.71409,4.69592
-0.33419,0,0,0.27398,,0.27398,4.75557,4.50022
-0.51704,0,0,0.27398,,0.27398,3.96149,3.99406
-3.24753,1.09041,1.09041,1.36439,,1.36439,3.94133,3.9698
-3.24753,0,0,1.36439,,1.36439,3.91728,3.94554
-3.24753,0,0,1.36439,,1.36439,3.88939,3.92132
-3.24753,0,0,1.36439,,1.36439,3.8577,3.89713
-3.24753,0,0,1.36439,,1.36439,3.82227,3.873
-3.24753,0,0,1.36439,,1.36439,3.87314,3.84897
-3.24753,0,0,1.36439,,1.36439,3.74035,3.82506
-3.24753,0,0,1.36439,,1.36439,3.69395,3.80128
-3.24753,0,0,1.36439,,1.36439,3.644,3.77766
-3.24753,0,0,1.36439,,1.36439,3.59053,3.75423
-3.24753,0,0,1.36439,,1.36439,3.5336,3.731
-3.24753,0,0,1.36439,,1.36439,3.47325,3.70798
-3.24753,0,0,1.36439,,1.36439,3.40953,3.68521
-2,-0.02,-0.02,1.34439,,1.34439,3.40953,4.7524
-2,-0.02,-0.02,1.32439,,1.32439,3.40953,4.19373
-2,-0.02,-0.02,1.30439,,1.30439,3.40953,3.51887
-2,-0.02,-0.02,1.28439,,1.28439,3.40953,3.1158
-2,-0.02,-0.02,1.26439,,1.26439,3.40953,2.7909
-2,-0.02,-0.02,1.24439,,1.24439,3.40953,2.91934
-2,-0.02,-0.02,1.22439,,1.22439,3.40953,3.43505
-2,-0.02,-0.02,1.20439,,1.20439,3.40953,3.46271
-2,-0.02,-0.02,1.18439,,1.18439,3.40953,3.55484
-2,-0.02,-0.02,1.16439,,1.16439,0.47813,3.4309
-2,-0.02,-0.02,1.14439,,1.14439,2.1399,3.6636
-2,-0.02,-0.02,1.12439,,1.12439,2.3526,3.70756
-2,-0.02,-0.02,1.10439,,1.10439,2.07626,3.59766
-2,-0.02,-0.02,1.08439,,1.08439,0,3.61294
-2,-0.02,-0.02,1.06439,,1.06439,0,3.66642
-2,-0.02,-0.02,1.04439,,1.04439,2.80553,3.67429
-2,-0.02,-0.02,1.02439,,1.02439,3.74294,4.07691
-2,-0.02,-0.02,1.00439,,1.00439,3.94857,4.40622
-2,-0.02,-0.02,0.98439,,0.98439,4.4421,4.49535
-2,-0.02,-0.02,0.96439,,0.96439,2.76543,4.28782
-2,-0.02,-0.02,0.94439,,0.94439,2.09176,4.29752
-2,-0.02,-0.02,0.92439,,0.92439,1.30682,4.45649
-2,-0.02,-0.02,0.90439,,0.90439,4.06219,4.7667
-2,-0.02,-0.02,0.88439,,0.88439,1.31285,6.71039
-2,-0.02,-0.02,0.86439,,0.86439,1.74813,7.0051
-2,-0.02,-0.02,0.84439,,0.84439,2.1866,7.26999
-2,-0.02,-0.02,0.82439,,0.82439,2.56257,7.17744
-2,-0.02,-0.02,0.80439,,0.80439,2.36125,6.96919
-2,-0.02,-0.02,0.78439,,0.78439,2.18873,4.73248
