vertical_velocity,forward_acceleration,backward_acceleration,max_horizontal_velocity,mid_horizontal_velocity,min_horizontal_velocity,ecb_bottom,ecb_inward
0,0,0,0,,0,4.49483,2.48025
0,0,0,0,,0,4.9565,2.42232
0,0,0,0,,0,5.46427,2.6713
0,0,0,0,,0,5.94646,3.59258
0,0,0,0,,0,6.18312,3.03883
0,0,0,0,,0,6.27349,3.09119
0,0,0,0,,0,6.37852,3.17378
0,0,0,0,,0,6.50174,3.26144
0,0,0,0,,0,6.64609,3.35108
0,0,0,0,,0,6.81344,3.4393
0,0,0,0,,0,7.00423,3.52273
0,0,0,0,,0,7.21733,3.59773
0,0,0,0,,0,7.44995,3.66305
0,0,0,0,,0,7.69785,3.76377
0,0,0,0,,0,7.89222,3.85439
0,0,0,0,,0,7.78791,3.93426
0,0,0,0,,0,7.68351,4.00364
0,0,0,0,,0,7.58025,4.06356
0,0,0,0,,0,7.4793,4.11572
0,0,0,0,,0,7.38182,4.16215
0,0,0,0,,0,7.28889,4.20547
0,0,0,0,,0,7.20156,4.24918
0,0,0,0,,0,7.12077,4.29091
0,0,0,0,,0,7.04739,4.33015
0,0,0,0,,0,6.98218,4.35334
0,0,0,0,,0,6.48795,4.20048
0,0,0,0,,0,6.22487,4.16304
0,0,0,0,,0,6.0375,4.02241
0,0,0,0,,0,5.75291,3.81269
0,0,0,0,,0,5.95455,3.8335
0,0,0,0,,0,6.53748,3.94944
0,0,0,0,,0,7.85526,4.38557
0,0,0,0,,0,8.34714,4.40381
0,0,0,0,,0,7.27694,4.05082
0,0,0,0,,0,6.55734,3.70259
0,0,0,0,,0,6.27119,3.61841
0,0,0,0,,0,5.88859,3.67048
0,0,0,0,,0,5.05809,3.47167
0,0,0,0,,0,4.246570,3.05985
0,0,0,0,,0,3.72496,2.68229
0,0,0,0,,0,3.57172,2.29235
0,0,0,0,,0,3.40918,2
0,0,0,0,,0,3.04416,2
0,0,0,0,,0,2.31472,2
0,0,0,0,,0,1.33933,2.25421
0,0,0,0,,0,0.76454,2.8172
0,0,0,0,,0,0.60799,3.0238
0,0,0,0,,0,0.58041,3.05401
0,0,0,0,,0,0.56492,3.09125
