vertical_velocity,forward_acceleration,backward_acceleration,max_horizontal_velocity,mid_horizontal_velocity,min_horizontal_velocity,ecb_bottom,ecb_inward
0,0,0,0,,0,4.01945,2.1288
0,0,0,0,,0,3.24007,2.52756
0,0,0,0,,0,2.39783,2.48707
0,0,0,0,,0,1.57153,2.44669
0,0,0,0,,0,1.56792,2.50793
0,0,0,0,,0,1.58662,2.52137
0,0,0,0,,0,1.60219,2.53072
0,0,0,0,,0,1.61497,2.53633
0,0,0,0,,0,1.62543,2.53854
0,0,0,0,,0,1.634,2.53774
0,0,0,0,,0,1.64113,2.53423
0,0,0,0,,0,1.6473,2.52835
0,0,0,0,,0,2.26603,2.29675
0,0,0,0,,0,2.91119,2
0,0,0,0,,0,1.6679,2
0,0,0,0,,0,2.93698,3.85365
0,16.5,16.5,16.5,,16.5,2.88519,3.82917
0,0,0,16.5,,16.5,2.8353,3.80461
0,0,0,16.5,,16.5,2.78727,3.78001
0,-14.57,-14.57,1.93,,1.93,2.93711,3.85357
0,-0.07,-0.07,1.86,,1.86,5.4659,4.12489
0,-0.07,-0.07,1.79,,1.79,5.54576,4.04909
0,-0.07,-0.07,1.72,,1.72,5.49733,4.05551
0,-0.07,-0.07,1.65,,1.65,5.37354,4.05251
-0.08,-0.07,-0.07,1.58,,1.58,5.22857,4.04788
-0.16,-0.07,-0.07,1.51,,1.51,5.11575,4.04594
-0.24,-0.07,-0.07,1.44,,1.44,5.037,4.04639
-0.32,-0.07,-0.07,1.37,,1.37,4.95768,4.04525
-0.4,-0.07,-0.07,1.3,,1.3,4.87577,4.04176
-0.48,-0.07,-0.07,1.23,,1.23,4.7894,4.03894
-0.56,-0.07,-0.07,1.16,,1.16,4.69693,4.03933
-0.64,-0.07,-0.07,1.09,,1.09,4.59695,4.04027
-0.72,-0.07,-0.07,1.02,,1.02,4.48837,4.04062
-0.8,-0.07,-0.07,0.95,,0.95,4.37038,4.04032
-0.88,-0.07,-0.07,0.88,,0.88,4.24260,4.03925
-0.96,-0.07,-0.07,0.81,,0.81,4.10508,4.03731
-1.04,-0.07,-0.07,0.74,,0.74,3.95841,4.03437
-1.12,-0.07,-0.07,0.67,,0.67,3.80382,4.0303
-1.2,-0.07,-0.07,0.6,,0.6,3.6433,4.02495
-1.28,-0.07,-0.07,0.53,,0.53,3.47978,4.01816
-1.36,-0.07,-0.07,0.46,,0.46,3.3173,4.01505
-1.44,-0.07,-0.07,0.39,,0.39,3.16124,4.02505
-1.52,-0.07,-0.07,0.32,,0.32,3.01864,4.05714
-1.6,-0.07,-0.07,0.25,,0.25,2.89843,4.11563
-1.68,-0.07,-0.07,0.18,,0.18,2.81184,4.17657
-1.76,-0.07,-0.07,0.11,,0.11,3.36983,4.27316
-1.84,-0.07,-0.07,0.04,,0.04,3.85816,4.26672
-1.92,-0.04,-0.04,0,,0,4.97776,4.15292
-2,0,0,0,,0,5.21088,4.18509
-2.08,0,0,0,,0,6.25313,4.22651
-2.16,0,0,0,,0,7.01115,4.10917
-2.24,0,0,0,,0,5.72179,3.90833
-2.32,0,0,0,,0,5.75143,3.7981
-2.4,0,0,0,,0,6.67566,3.90985
-2.48,0,0,0,,0,5.24105,3.47979
-2.56,0,0,0,,0,3.96497,3.3839
-2.64,0,0,0,,0,3.14971,3.36013
-2.72,0,0,0,,0,2.08666,3.35086
-2.8,0,0,0,,0,1.15199,3.31787
