vertical_velocity,forward_acceleration,backward_acceleration,max_horizontal_velocity,mid_horizontal_velocity,min_horizontal_velocity,ecb_bottom,ecb_inward
0,0,0,0,,0,3.92442,2.16457
0,0,0,0,,0,4.33013,2.11403
0,0,0,0,,0,4.77219,2.41695
0,0,0,0,,0,5.18834,3.13535
0,0,0,0,,0,5.39219,2.65207
0,0,0,0,,0,5.47057,2.69824
0,0,0,0,,0,5.56145,2.76934
0,0,0,0,,0,5.66789,2.84549
0,0,0,0,,0,5.79243,2.9234
0,0,0,0,,0,5.93674,3.00013
0,0,0,0,,0,6.10121,3.0728
0,0,0,0,,0,6.28493,3.13826
0,0,0,0,,0,6.48557,3.19395
0,0,0,0,,0,6.69954,3.23783
0,0,0,0,,0,6.89984,3.26857
0,0,0,0,,0,6.80956,3.28562
0,0,0,0,,0,6.71882,3.28922
0,0,0,0,,0,6.62864,3.2804
0,0,0,0,,0,6.54002,3.26072
0,0,0,0,,0,6.45395,3.26341
0,0,0,0,,0,6.37136,3.29191
0,0,0,0,,0,6.2932,3.31947
0,0,0,0,,0,6.22032,3.34464
0,0,0,0,,0,6.15352,3.36732
0,0,0,0,,0,6.09354,3.37624
0,0,0,0,,0,5.56469,3.36275
0,0,0,0,,0,5.39853,3.64342
0,0,0,0,,0,5.74801,3.35376
0,0,0,0,,0,5.72249,3.20874
0,0,0,0,,0,5.93006,3.32557
0,0,0,0,,0,6.35366,3.59736
0,0,0,0,,0,6.82127,3.64653
0,0,0,0,,0,6.36771,3.45615
0,0,0,0,,0,5.61677,3.10432
0,0,0,0,,0,5.18551,2.81667
0,0,0,0,,0,5.09885,2.85881
0,0,0,0,,0,4.93224,3.00355
0,0,0,0,,0,4.39032,2.92956
0,0,0,0,,0,3.82962,2.72097
0,0,0,0,,0,3.47238,2.40062
0,0,0,0,,0,3.40495,2.26466
0,0,0,0,,0,3.28926,2.04891
0,0,0,0,,0,2.99635,2
0,0,0,0,,0,2.21033,2
0,0,0,0,,0,1.10444,2
0,0,0,0,,0,0.45174,2.00203
0,0,0,0,,0,0.24745,2.24104
0,0,0,0,,0,0.22292,2.35607
0,0,0,0,,0,0.29744,2.52219
