vertical_velocity,forward_acceleration,backward_acceleration,max_horizontal_velocity,mid_horizontal_velocity,min_horizontal_velocity,ecb_bottom,ecb_inward
0,0,0,0,,0,2.73032,3.78725
0,0,0,0,,0,2.73032,8.02988
0,0,0,0,,0,2.73032,8.15715
0,0,0,0,,0,2.73032,6.91919
0,0,0,0,,0,1.90617,6.86819
0,0,0,0,,0,2.08945,6.84862
0,0,0,0,,0,2.25625,6.79689
0,0,0,0,,0,2.40133,6.72339
0,0,0,0,,0,2.53273,6.629
0,0,0,0,,0,2.66314,6.53914
0,0,0,0,,0,2.63678,6.49925
0,0,0,0,,0,2.61777,6.54384
0,0,0,0,,0,2.59514,6.68341
0,0,0,0,,0,2.55945,6.93004
0,0,0,0,,0,2.50366,7.31392
0,2.27937,2.27937,2.27937,,2.27937,2.57597,7.25902
0,-0.4498,-0.4498,1.82957,,1.82957,2.20474,7.24419
0,-0.16969,-0.16969,1.65988,,1.65988,2.21038,7.36293
0,0.11044,0.11044,1.77032,,1.77032,3.59588,10.4538
0,0.39054,0.39054,2.16086,,2.16086,3.68277,10.73952
0,0.24768,0.24768,2.40854,,2.40854,4.10989,10.86107
0,-0.081,-0.081,2.32754,,2.32754,4.10979,11.01353
0,-0.07963,-0.07963,2.24791,,2.24791,3.95215,11.12446
0,-0.07824,-0.07824,2.16967,,2.16967,3.82033,11.2396
0,-0.07685,-0.07685,2.09282,,2.09282,3.79396,11.37151
0,-0.07547,-0.07547,2.01735,,2.01735,3.8931,11.50796
0,-0.07409,-0.07409,1.94326,,1.94326,4.07447,11.61216
0,-0.0727,-0.0727,1.87056,,1.87056,4.27964,11.6787
0,-0.07132,-0.07132,1.79924,,1.79924,4.43861,11.71288
-0.05,-0.06993,-0.06993,1.72931,,1.72931,4.52493,11.71819
-0.1,-0.06855,-0.06855,1.66076,,1.66076,4.51804,11.69933
-0.15,-0.06717,-0.06717,1.59359,,1.59359,4.38906,11.6442
-0.2,-0.06577,-0.06577,1.52782,,1.52782,4.11228,11.53226
-0.25,-0.0644,-0.0644,1.46342,,1.46342,3.67184,11.32838
-0.3,-0.06302,-0.06302,1.4004,,1.4004,3.07395,10.9791
-0.35,-0.06162,-0.06162,1.33878,,1.33878,1.15201,9.81707
-0.4,-0.06025,-0.06025,1.27853,,1.27853,0,10.89488
-0.45,-0.05885,-0.05885,1.21968,,1.21968,0,12.67571
-0.5,-0.05748,-0.05748,1.1622,,1.1622,0,12.8278
-0.55,-0.05609,-0.05609,1.10611,,1.10611,1.2988,12.31119
-0.6,-0.0547,-0.0547,1.05141,,1.05141,0.23924,10.33372
-0.65,-0.05333,-0.05333,0.99808,,0.99808,0,7.06634
-0.7,-0.05193,-0.05193,0.94615,,0.94615,0,4.72509
-0.75,-0.05056,-0.05056,0.89559,,0.89559,0.22355,4.9105
-0.8,-0.04917,-0.04917,0.84642,,0.84642,0.73548,6.33263
-0.85,-0.04778,-0.04778,0.79864,,0.79864,1.10453,6.42918
-0.9,-0.04639,-0.04639,0.75225,,0.75225,1.39063,6.46437
-0.95,-0.04503,-0.04503,0.70722,,0.70722,1.69522,6.43492
-1,-0.04363,-0.04363,0.66359,,0.66359,2.0425,4.89017
-1.05,-0.04224,-0.04224,0.62135,,0.62135,2.418,4.72839
-1.1,-0.04087,-0.04087,0.58048,,0.58048,2.73204,4.76573
-1.15,-0.03948,-0.03948,0.541,,0.541,2.95683,7.3318
-1.2,-0.03809,-0.03809,0.50291,,0.50291,3.07652,8.29927
-1.25,-0.03672,-0.03672,0.46619,,0.46619,2.80036,9.15936
-1.3,-0.0353,-0.0353,0.43089,,0.43089,2.4169,9.8541
-1.35,-0.03395,-0.03395,0.39694,,0.39694,2.11477,10.34127
-1.4,-0.03257,-0.03257,0.36437,,0.36437,1.90619,10.61197
-1.45,-0.03117,-0.03117,0.3332,,0.3332,1.79178,10.58328
-1.5,-0.02977,-0.02977,0.30343,,0.30343,1.81489,10.05034
-1.55,-0.02843,-0.02843,0.275,,0.275,0.27198,8.81828
-1.6,-0.027,-0.027,0.248,,0.248,0,7.25484
-1.65,-0.02565,-0.02565,0.22235,,0.22235,0,4.51528
-1.7,-0.02423,-0.02423,0.19812,,0.19812,0,2.74831
-1.75,-0.02289,-0.02289,0.17523,,0.17523,0,2.66676
-1.8,-0.02145,-0.02145,0.15378,,0.15378,0,3.9278
-1.85,-0.02014,-0.02014,0.13364,,0.13364,0,3.12574
-1.9,-0.01868,-0.01868,0.11496,,0.11496,1.60612,3.30847
-1.95,-0.01735,-0.01735,0.09761,,0.09761,3.62517,4.24731
-2,-0.01594,-0.01594,0.08167,,0.08167,3.63011,5.25221
-2.05,-0.01454,-0.01454,0.06713,,0.06713,3.86222,5.85935
-2.1,-0.01319,-0.01319,0.05394,,0.05394,4.24495,6.2914
-2.15,-0.0118,-0.0118,0.04214,,0.04214,3.87188,6.60296
-2.2,-0.01039,-0.01039,0.03175,,0.03175,3.4929,6.86433
-2.25,-0.00904,-0.00904,0.02271,,0.02271,3.17443,7.14101
-2.3,0.12819,0.12819,0.1509,,0.1509,2.93018,4.95147
-2.35,-0.14209,-0.14209,0.00881,,0.00881,2.7849,4.8081
-2.4,-0.00485,-0.00485,0.00396,,0.00396,2.75246,4.80127
-2.45,-0.0035,-0.0035,0.00046,,0.00046,2.6666,4.64814
-2.5,-0.00211,-0.00211,-0.00165,,-0.00165,2.51716,4.34089
